distance (m),altitude (m)
2011.481856,2903.3
2014.113961,2903.3
2016.747455,2903.4
2019.37777,2903.5
2022.00293,2903.58
2024.636023,2903.66
2027.27785,2903.66
2029.925234,2903.72
2032.574992,2903.76
2035.223765,2903.77
2037.870745,2903.76
2040.507017,2903.76
2043.129399,2903.74
2045.734716,2903.72
2048.320985,2903.72
2050.892972,2903.75
2053.457018,2903.75
2056.01273,2903.81
2058.559719,2903.89
2061.104319,2903.96
2063.654085,2904.02
2066.23202,2904.02
2068.832179,2904.05
2071.459716,2904.07
2074.12099,2904.07
2076.809633,2904.08
2079.532021,2904.08
2082.287745,2904.1
2085.073601,2904.13
2087.89044,2904.19
2090.734624,2904.27
2093.607022,2904.27
2096.504421,2904.38
2099.423598,2904.5
2102.362667,2904.64
2105.323506,2904.79
2108.304244,2904.79
2111.304427,2904.96
2114.326373,2905.15
2117.368225,2905.35
2120.423501,2905.57
2123.487577,2905.57
2126.559987,2905.8
2129.64026,2906.02
2132.726559,2906.23
2135.823498,2906.43
2138.932021,2906.43
2142.057212,2906.6
2145.204146,2906.76
2148.373784,2906.92
2151.567936,2907.08
2154.795911,2907.08
2158.051666,2907.27
2161.337477,2907.48
2164.651568,2907.73
2167.979041,2908.02
2171.315356,2908.02
2174.657226,2908.34
2177.994421,2908.7
2181.327957,2909.1
2184.652653,2909.53
2187.955633,2909.53
2191.239167,2909.99
2194.499979,2910.45
2197.736288,2910.91
2200.944327,2911.34
2204.116743,2911.34
2207.253046,2911.73
2210.352762,2912.08
2213.416838,2912.39
2216.447115,2912.67
2219.441743,2912.67
2222.400257,2912.91
2225.319434,2913.15
2228.202944,2913.39
2231.04435,2913.64
2233.838965,2913.64
2236.594689,2913.93
2239.313885,2914.24
2241.997382,2914.56
2244.669359,2914.89
2247.358412,2914.89
2250.053021,2915.2
2252.761107,2915.5
2255.489051,2915.76
2258.219357,2916.01
2260.944523,2916.01
2263.664134,2916.25
2266.377774,2916.47
2269.069605,2916.68
2271.762414,2916.9
2274.457023,2916.9
2277.159966,2917.13
2279.876384,2917.36
2282.609884,2917.59
2285.348523,2917.82
2288.09869,2917.82
